hoursWorked,mood,focus,meetingHours,tasksCompleted,burnoutRisk
4,4,10,6,0,MEDIUM
6,6,4,8,4,HIGH
5,7,10,3,0,MEDIUM
6,1,5,6,12,HIGH
9,10,2,5,3,HIGH
9,7,5,3,5,HIGH
11,6,10,4,13,HIGH
8,6,5,1,2,HIGH
7,7,5,1,0,HIGH
8,8,9,1,3,MEDIUM
12,2,6,4,1,HIGH
12,9,6,2,3,HIGH
5,6,10,5,11,MEDIUM
12,6,2,0,1,HIGH
8,10,5,0,2,MEDIUM
11,2,10,1,10,HIGH
7,5,4,0,4,HIGH
4,10,10,5,7,LOW
10,10,7,3,1,MEDIUM
4,3,2,1,11,HIGH
7,7,8,8,12,HIGH
11,9,4,0,5,HIGH
10,2,10,0,12,HIGH
9,4,5,7,3,HIGH
5,6,2,2,10,HIGH
11,6,6,3,11,HIGH
9,1,2,2,11,HIGH
7,1,10,2,5,HIGH
6,3,4,0,6,HIGH
9,7,8,3,8,HIGH
10,3,1,1,4,HIGH
12,5,4,2,13,HIGH
5,7,3,0,7,HIGH
11,9,2,0,15,HIGH
4,4,3,3,0,HIGH
10,9,7,5,1,HIGH
9,2,7,1,1,HIGH
6,5,5,3,6,HIGH
10,5,8,0,3,HIGH
10,3,6,0,3,HIGH
7,4,3,2,2,HIGH
10,2,10,4,14,HIGH
6,7,8,0,2,MEDIUM
8,9,10,2,10,MEDIUM
7,1,2,6,2,HIGH
10,4,7,0,14,HIGH
8,6,1,3,1,HIGH
12,10,10,8,6,HIGH
10,2,6,5,15,HIGH
11,8,3,8,2,HIGH
8,2,1,8,15,HIGH
9,3,3,7,13,HIGH
10,3,9,2,10,HIGH
6,9,5,8,6,HIGH
4,8,10,2,12,LOW
7,3,1,5,0,HIGH
7,1,6,6,8,HIGH
6,8,8,7,4,MEDIUM
5,2,10,7,15,HIGH
6,6,1,5,7,HIGH
11,8,9,5,1,HIGH
4,9,4,3,10,MEDIUM
8,6,8,5,15,HIGH
5,7,5,7,3,HIGH
9,5,5,3,12,HIGH
4,6,8,7,13,MEDIUM
5,1,4,6,11,HIGH
11,2,10,2,6,HIGH
7,2,10,4,13,HIGH
8,7,10,3,7,MEDIUM
7,9,2,2,15,HIGH
12,3,8,0,13,HIGH
10,2,9,8,5,HIGH
6,6,10,1,14,MEDIUM
7,8,4,3,9,HIGH
8,4,4,0,13,HIGH
6,10,9,2,10,LOW
7,2,2,6,8,HIGH
8,1,1,0,14,HIGH
5,5,7,5,15,HIGH
4,5,8,1,6,MEDIUM
4,9,10,2,5,LOW
10,10,8,1,2,MEDIUM
5,8,4,0,2,MEDIUM
9,9,8,2,3,MEDIUM
12,7,9,2,7,HIGH
5,8,9,3,7,MEDIUM
6,3,8,3,9,HIGH
9,1,9,0,4,HIGH
10,3,8,0,4,HIGH
10,9,9,8,2,HIGH
4,6,9,2,4,MEDIUM
12,7,2,7,2,HIGH
10,6,3,4,4,HIGH
9,2,3,0,0,HIGH
11,3,5,3,0,HIGH
11,4,5,0,0,HIGH
10,4,2,6,5,HIGH
6,6,3,0,7,HIGH
12,6,7,3,13,HIGH
12,8,4,5,1,HIGH
12,1,9,4,15,HIGH
9,7,9,1,5,MEDIUM
12,7,2,1,9,HIGH
12,7,6,7,13,HIGH
8,1,10,0,8,HIGH
7,6,1,0,5,HIGH
9,5,2,2,4,HIGH
12,10,6,6,15,HIGH
12,9,9,1,14,MEDIUM
6,1,2,2,10,HIGH
7,1,5,4,0,HIGH
10,7,3,6,12,HIGH
5,9,1,3,9,HIGH
11,9,6,7,15,HIGH
8,4,4,1,14,HIGH
10,8,10,3,8,MEDIUM
7,5,9,2,5,MEDIUM
10,5,1,3,10,HIGH
10,9,3,2,9,HIGH
7,3,7,5,13,HIGH
8,2,6,5,6,HIGH
7,1,2,1,15,HIGH
7,3,10,8,3,HIGH
11,9,2,0,4,HIGH
12,5,6,6,12,HIGH
8,9,8,0,3,MEDIUM
12,2,9,6,13,HIGH
4,10,8,1,0,LOW
6,3,6,3,10,HIGH
7,1,3,2,2,HIGH
6,3,2,0,8,HIGH
5,4,7,4,9,HIGH
8,4,7,0,4,HIGH
4,9,5,7,9,MEDIUM
9,8,8,4,14,MEDIUM
10,2,9,3,6,HIGH
8,6,6,5,7,HIGH
5,2,9,3,11,HIGH
10,9,3,7,7,HIGH
10,1,2,7,1,HIGH
10,2,3,5,12,HIGH
4,10,2,6,14,HIGH
10,10,10,6,4,MEDIUM
5,5,6,6,9,HIGH
6,9,2,1,11,HIGH
6,3,2,3,5,HIGH
5,6,2,0,11,HIGH
5,7,4,0,15,MEDIUM
10,5,10,5,9,HIGH
6,9,10,7,13,MEDIUM
7,1,7,0,9,HIGH
9,3,6,8,14,HIGH
4,2,6,0,5,HIGH
4,6,9,4,2,MEDIUM
5,5,4,6,13,HIGH
6,9,6,2,14,MEDIUM
6,10,3,6,11,HIGH
12,7,1,3,6,HIGH
11,1,9,5,1,HIGH
4,5,7,2,14,MEDIUM
9,2,1,3,3,HIGH
11,5,10,4,13,HIGH
7,8,3,2,13,HIGH
8,2,5,0,7,HIGH
6,6,3,6,11,HIGH
11,5,2,8,0,HIGH
5,5,2,4,15,HIGH
10,7,4,1,9,HIGH
5,8,4,0,5,MEDIUM
12,5,1,8,3,HIGH
6,5,1,2,10,HIGH
5,7,1,8,10,HIGH
7,6,10,8,13,HIGH
7,1,5,2,4,HIGH
10,9,8,8,1,HIGH
8,6,4,0,9,HIGH
11,6,4,8,11,HIGH
4,9,7,5,6,MEDIUM
12,4,10,3,6,HIGH
11,5,9,6,4,HIGH
10,5,6,8,11,HIGH
8,6,2,3,9,HIGH
7,2,6,7,13,HIGH
6,5,6,0,10,MEDIUM
8,2,5,7,15,HIGH
5,2,2,5,8,HIGH
9,2,8,7,10,HIGH
4,10,5,7,15,MEDIUM
7,3,5,3,6,HIGH
9,4,3,8,10,HIGH
6,8,6,1,8,MEDIUM
5,6,9,7,0,MEDIUM
11,5,3,0,9,HIGH
6,7,1,2,8,HIGH
9,5,8,0,15,HIGH
7,4,9,8,6,HIGH
12,10,4,0,8,HIGH
10,3,8,3,5,HIGH
7,3,10,0,1,MEDIUM
9,1,4,0,1,HIGH
8,3,7,2,1,HIGH
8,5,3,0,12,HIGH
10,2,6,8,1,HIGH
9,7,1,3,0,HIGH
4,10,6,3,8,MEDIUM
7,7,4,2,8,HIGH
4,9,8,8,2,MEDIUM
10,5,10,6,1,HIGH
12,3,2,7,4,HIGH
11,4,5,7,2,HIGH
11,1,3,8,2,HIGH
6,6,2,5,4,HIGH
8,3,1,8,2,HIGH
8,8,8,4,8,MEDIUM
12,9,2,7,5,HIGH
10,8,1,5,12,HIGH
8,6,5,5,3,HIGH
8,8,6,4,12,HIGH
7,1,4,2,14,HIGH
11,7,7,6,8,HIGH
9,8,1,5,3,HIGH
7,2,5,5,7,HIGH
12,6,6,3,0,HIGH
9,5,9,4,6,HIGH
8,2,5,0,14,HIGH
4,5,2,5,12,HIGH
5,7,8,3,8,MEDIUM
11,9,1,6,11,HIGH
5,4,10,8,3,HIGH
10,9,2,8,4,HIGH
8,10,5,5,15,HIGH
10,1,1,5,7,HIGH
7,3,6,3,3,HIGH
12,8,5,1,8,HIGH
9,3,8,8,1,HIGH
7,5,3,2,0,HIGH
6,1,3,3,9,HIGH
12,1,6,4,4,HIGH
12,7,6,3,3,HIGH
8,3,6,1,12,HIGH
5,5,8,4,12,MEDIUM
7,6,1,1,7,HIGH
10,7,2,7,10,HIGH
11,2,3,4,13,HIGH
8,9,9,8,3,MEDIUM
6,7,8,0,5,MEDIUM
5,10,3,0,13,MEDIUM
6,2,6,3,0,HIGH
10,6,2,4,13,HIGH
11,4,8,7,2,HIGH
9,3,8,0,10,HIGH
11,10,2,2,8,HIGH
6,9,8,1,13,MEDIUM
5,1,1,0,9,HIGH
8,3,4,4,7,HIGH
9,2,9,8,12,HIGH
11,9,6,0,1,MEDIUM
8,6,1,8,9,HIGH
7,3,4,0,6,HIGH
11,7,7,4,13,HIGH
10,4,5,5,14,HIGH
6,4,5,8,7,HIGH
10,7,9,3,7,MEDIUM
5,7,5,0,14,MEDIUM
12,10,5,4,0,HIGH
10,4,5,4,0,HIGH
12,8,7,7,6,HIGH
8,8,3,4,4,HIGH
11,4,5,5,14,HIGH
4,9,3,7,0,HIGH
9,9,7,1,2,MEDIUM
7,3,10,6,4,HIGH
7,8,7,8,8,HIGH
5,10,8,4,11,MEDIUM
11,7,10,0,2,MEDIUM
6,8,7,1,13,MEDIUM
6,4,1,8,5,HIGH
7,5,7,4,10,HIGH
7,3,5,7,14,HIGH
6,9,3,0,6,MEDIUM
11,1,10,1,14,HIGH
9,9,9,5,13,MEDIUM
12,4,8,8,6,HIGH
7,8,2,6,14,HIGH
5,6,1,1,7,HIGH
10,10,2,5,0,HIGH
4,2,10,4,10,MEDIUM
6,8,3,6,0,HIGH
8,8,10,0,1,MEDIUM
5,3,3,7,5,HIGH
12,10,3,3,2,HIGH
9,10,5,2,7,MEDIUM
10,8,3,6,8,HIGH
7,6,9,6,3,HIGH
5,8,8,0,7,MEDIUM
5,1,9,3,11,HIGH
12,4,1,4,8,HIGH
11,7,8,0,14,MEDIUM
9,10,8,5,11,MEDIUM
5,2,6,1,8,HIGH
7,1,6,3,5,HIGH
5,4,2,5,12,HIGH
11,4,10,6,8,HIGH
7,7,2,1,11,HIGH
7,4,7,7,10,HIGH
8,4,6,4,9,HIGH
4,10,6,8,1,MEDIUM
9,10,1,7,15,HIGH
9,8,7,6,3,HIGH
11,4,3,0,12,HIGH
10,7,9,3,5,MEDIUM
4,6,4,3,9,HIGH
4,10,2,4,9,MEDIUM
6,2,4,3,6,HIGH
4,4,9,6,5,MEDIUM
12,4,6,7,11,HIGH
11,5,6,8,6,HIGH
8,1,7,6,0,HIGH
4,5,1,6,11,HIGH
4,2,6,6,3,HIGH
7,2,8,3,8,HIGH
5,4,9,4,0,MEDIUM
6,7,7,0,10,MEDIUM
4,10,5,0,12,MEDIUM
7,7,2,3,9,HIGH
9,5,2,5,13,HIGH
8,1,8,3,2,HIGH
8,2,5,0,7,HIGH
12,4,2,5,11,HIGH
11,8,6,3,5,HIGH
8,2,8,7,8,HIGH
5,3,3,7,15,HIGH
4,4,9,4,10,MEDIUM
12,4,6,3,14,HIGH
12,3,1,4,1,HIGH
7,4,2,1,2,HIGH
7,5,5,7,14,HIGH
5,8,6,2,13,MEDIUM
6,4,10,6,0,HIGH
10,5,8,5,1,HIGH
7,2,9,7,3,HIGH
11,1,6,1,14,HIGH
4,8,2,6,3,HIGH
7,9,10,7,6,MEDIUM
8,2,10,2,12,HIGH
4,4,1,3,13,HIGH
9,10,8,5,14,MEDIUM
6,7,3,7,15,HIGH
8,8,8,7,12,HIGH
10,3,3,4,2,HIGH
7,5,8,7,6,HIGH
10,5,8,8,9,HIGH
8,3,8,5,5,HIGH
11,2,6,6,13,HIGH
12,10,7,1,0,MEDIUM
7,5,9,5,9,HIGH
11,7,9,7,11,HIGH
9,1,1,2,0,HIGH
9,4,5,6,14,HIGH
5,9,2,4,11,HIGH
11,4,4,0,0,HIGH
9,9,9,6,14,MEDIUM
6,6,5,0,14,MEDIUM
7,4,4,4,1,HIGH
12,2,3,4,3,HIGH
8,4,4,0,12,HIGH
8,9,6,1,9,MEDIUM
8,6,6,7,10,HIGH
12,6,7,1,4,HIGH
11,1,6,6,9,HIGH
8,1,4,0,12,HIGH
12,7,1,2,8,HIGH
4,6,5,4,0,HIGH
7,9,1,3,4,HIGH
8,9,2,2,11,HIGH
10,5,10,5,15,HIGH
4,6,9,4,9,MEDIUM
8,1,6,4,13,HIGH
12,4,9,5,12,HIGH
6,6,9,5,7,MEDIUM
5,8,6,6,3,MEDIUM
6,6,2,3,0,HIGH
5,9,5,2,12,MEDIUM
9,6,9,5,2,HIGH
5,2,10,7,4,HIGH
9,9,6,3,15,HIGH
11,8,3,2,7,HIGH
9,4,5,6,11,HIGH
10,3,3,1,2,HIGH
9,7,7,5,6,HIGH
11,6,5,6,15,HIGH
9,8,7,1,6,MEDIUM
11,4,4,2,8,HIGH
9,5,9,2,7,HIGH
5,10,9,2,15,LOW
4,1,6,0,15,HIGH
10,9,7,6,12,HIGH
7,7,10,6,15,MEDIUM
7,5,6,6,11,HIGH
8,1,10,7,2,HIGH
8,6,2,8,9,HIGH
11,9,8,8,9,HIGH
7,8,4,8,2,HIGH
4,5,9,4,14,MEDIUM
8,7,1,8,2,HIGH
11,7,5,7,9,HIGH
11,5,4,1,6,HIGH
7,8,1,2,1,HIGH
11,5,10,0,5,MEDIUM
8,9,3,8,0,HIGH
10,9,7,8,12,HIGH
11,9,2,7,8,HIGH
6,8,10,2,14,MEDIUM
5,3,8,0,8,MEDIUM
4,1,8,3,1,HIGH
7,1,2,2,8,HIGH
6,7,5,8,12,HIGH
11,10,4,2,10,HIGH
4,2,7,4,8,HIGH
6,9,7,5,5,MEDIUM
4,1,7,1,2,HIGH
8,8,1,7,8,HIGH
9,5,2,5,13,HIGH
11,5,1,0,12,HIGH
5,7,10,1,14,LOW
12,7,10,7,0,HIGH
7,5,2,5,0,HIGH
4,2,6,7,8,HIGH
10,1,10,6,14,HIGH
8,10,3,0,9,MEDIUM
8,8,9,0,2,MEDIUM
10,5,5,0,11,HIGH
7,3,5,7,9,HIGH
10,5,8,7,11,HIGH
8,1,7,6,13,HIGH
6,7,6,8,15,HIGH
7,8,2,4,8,HIGH
4,2,5,5,3,HIGH
5,5,2,4,14,HIGH
9,1,8,4,3,HIGH
8,7,4,2,3,HIGH
5,6,4,3,14,HIGH
8,7,9,5,15,MEDIUM
9,8,3,3,15,HIGH
7,8,10,3,0,MEDIUM
4,7,1,2,9,HIGH
10,4,2,5,15,HIGH
12,2,4,0,11,HIGH
6,10,8,4,15,MEDIUM
9,7,1,2,14,HIGH
11,8,6,4,14,HIGH
5,4,10,8,4,HIGH
7,6,7,7,6,HIGH
12,3,2,5,0,HIGH
8,7,6,2,7,HIGH
5,7,2,5,11,HIGH
7,1,9,4,12,HIGH
5,9,4,6,6,HIGH
7,7,8,1,14,MEDIUM
4,7,3,8,0,HIGH
12,7,6,6,11,HIGH
7,1,3,1,11,HIGH
4,2,9,4,9,HIGH
4,5,4,1,10,HIGH
8,3,2,3,14,HIGH
9,10,3,2,14,HIGH
12,10,9,6,3,HIGH
5,1,10,8,8,HIGH
12,4,8,8,1,HIGH
4,8,10,4,5,LOW
7,8,4,3,13,HIGH
5,6,9,8,14,MEDIUM
10,4,10,3,6,HIGH
5,5,10,2,8,MEDIUM
9,1,7,8,9,HIGH
7,7,7,5,6,HIGH
8,5,2,3,10,HIGH
7,7,7,8,13,HIGH
5,8,3,4,7,HIGH
10,6,1,6,6,HIGH
6,1,7,0,10,HIGH
8,2,7,6,10,HIGH
11,8,10,1,5,MEDIUM
7,6,3,1,13,HIGH
11,6,7,3,7,HIGH
11,6,4,0,15,HIGH
8,10,5,4,6,MEDIUM
8,1,3,6,3,HIGH
7,4,8,1,13,HIGH
9,7,10,7,9,HIGH
6,3,10,8,14,HIGH
5,7,8,4,3,MEDIUM
5,2,4,1,14,HIGH
5,6,8,7,2,HIGH
12,1,4,8,12,HIGH
11,9,7,3,0,HIGH
7,2,2,2,6,HIGH
4,5,8,2,4,MEDIUM
4,7,4,1,4,MEDIUM
5,9,8,0,6,LOW
5,8,9,4,13,MEDIUM
4,5,2,2,12,HIGH
10,10,8,8,1,HIGH
11,3,4,2,12,HIGH
12,1,6,7,3,HIGH
7,1,2,1,2,HIGH
12,5,5,4,12,HIGH
6,7,4,4,4,HIGH
10,10,4,0,7,HIGH
9,8,4,2,0,HIGH
7,1,5,3,5,HIGH
8,2,4,0,8,HIGH
4,8,2,1,13,MEDIUM
10,7,9,2,15,MEDIUM
9,4,2,2,7,HIGH
6,3,5,1,14,HIGH
10,6,1,0,7,HIGH
11,4,9,8,13,HIGH
11,7,6,3,7,HIGH
12,6,6,6,3,HIGH
4,10,1,3,12,HIGH
7,10,5,0,1,MEDIUM
8,6,7,1,12,HIGH
4,8,2,7,6,HIGH
11,1,9,4,13,HIGH
8,8,7,3,14,MEDIUM
7,7,3,4,15,HIGH
7,4,5,8,6,HIGH
7,1,5,8,15,HIGH
11,2,8,6,6,HIGH
11,8,8,8,11,HIGH
6,9,5,8,0,HIGH
5,3,2,4,0,HIGH
7,7,9,8,1,HIGH
4,7,2,0,11,HIGH
8,5,4,1,8,HIGH
6,1,9,6,4,HIGH
11,9,7,1,13,MEDIUM
12,3,7,2,9,HIGH
4,8,4,6,6,HIGH
10,4,10,1,6,HIGH
6,9,3,7,2,HIGH
6,3,2,8,8,HIGH
4,6,10,4,6,MEDIUM
11,7,9,8,1,HIGH
12,4,9,2,5,HIGH
9,9,10,7,0,MEDIUM
7,5,9,6,6,HIGH
10,6,4,8,4,HIGH
7,8,9,7,8,MEDIUM
5,8,4,4,12,HIGH
11,9,4,5,4,HIGH
9,6,9,7,6,HIGH
6,1,10,0,7,MEDIUM
12,2,3,4,4,HIGH
6,5,7,4,6,HIGH
7,1,5,0,13,HIGH
6,6,2,5,3,HIGH
9,3,7,5,4,HIGH
5,8,3,1,4,MEDIUM
4,2,8,1,15,MEDIUM
9,5,2,1,6,HIGH
7,3,9,5,13,HIGH
4,10,6,2,13,MEDIUM
11,5,7,0,6,HIGH
10,4,2,1,6,HIGH
12,2,5,8,2,HIGH
5,9,8,6,5,MEDIUM
4,3,5,0,13,HIGH
4,1,5,0,10,HIGH
6,10,6,6,15,MEDIUM
8,5,6,1,12,HIGH
8,1,2,6,13,HIGH
9,9,2,7,11,HIGH
5,8,1,5,12,HIGH
6,3,3,0,11,HIGH
7,5,10,7,3,HIGH
11,1,7,8,1,HIGH
6,6,10,7,1,MEDIUM
6,8,1,2,2,HIGH
9,1,2,5,12,HIGH
6,7,4,3,3,HIGH
4,3,8,0,14,MEDIUM
4,10,2,3,1,MEDIUM
8,1,3,0,11,HIGH
5,7,10,3,5,MEDIUM
9,3,2,4,2,HIGH
8,9,2,8,11,HIGH
5,8,10,6,10,MEDIUM
8,4,4,8,0,HIGH
11,9,2,6,14,HIGH
4,5,3,5,7,HIGH
9,7,7,2,9,HIGH
6,2,9,1,1,HIGH
5,3,1,7,13,HIGH
5,8,5,7,0,HIGH
6,9,9,5,13,MEDIUM
9,7,3,8,1,HIGH
9,7,1,1,15,HIGH
12,1,1,5,14,HIGH
4,10,3,1,13,MEDIUM
10,2,5,3,1,HIGH
9,10,3,5,9,HIGH
5,3,10,2,11,MEDIUM
9,10,5,8,8,HIGH
5,5,5,6,15,HIGH
10,6,4,0,2,HIGH
11,8,5,2,6,HIGH
10,9,9,3,13,MEDIUM
10,5,8,7,4,HIGH
7,7,2,3,3,HIGH
9,10,8,4,9,MEDIUM
8,9,8,3,11,MEDIUM
8,6,6,5,5,HIGH
4,9,10,8,9,MEDIUM
11,3,1,4,6,HIGH
12,10,3,1,9,HIGH
8,2,6,3,1,HIGH
8,10,6,2,6,MEDIUM
5,8,3,5,15,HIGH
5,9,5,6,3,MEDIUM
9,2,10,8,0,HIGH
11,8,4,0,3,HIGH
10,8,2,6,11,HIGH
10,6,5,2,1,HIGH
10,5,3,5,5,HIGH
8,2,2,8,13,HIGH
5,8,7,5,1,MEDIUM
8,2,8,1,12,HIGH
4,7,2,8,15,HIGH
10,4,8,3,4,HIGH
6,5,9,7,7,HIGH
6,6,3,5,11,HIGH
5,10,5,3,15,MEDIUM
11,1,6,1,3,HIGH
11,3,1,8,13,HIGH
11,4,9,6,8,HIGH
6,5,10,5,1,MEDIUM
12,5,4,0,7,HIGH
5,10,2,3,5,MEDIUM
11,9,2,7,15,HIGH
8,2,4,3,7,HIGH
8,3,6,8,3,HIGH
5,10,10,6,7,LOW
10,4,1,2,12,HIGH
7,7,10,2,13,MEDIUM
8,1,7,7,4,HIGH
4,5,8,0,9,MEDIUM
10,5,9,4,8,HIGH
9,9,2,4,9,HIGH
9,2,3,8,15,HIGH
4,2,10,7,11,HIGH
8,1,7,1,10,HIGH
9,7,10,0,0,MEDIUM
5,10,1,6,1,HIGH
6,10,10,8,1,MEDIUM
10,3,8,1,2,HIGH
12,7,9,7,8,HIGH
9,3,6,2,4,HIGH
7,7,4,8,0,HIGH
10,5,9,7,11,HIGH
6,5,8,1,12,MEDIUM
5,5,1,8,5,HIGH
11,1,10,1,0,HIGH
7,8,6,7,15,HIGH
6,4,4,5,4,HIGH
11,2,1,4,13,HIGH
9,8,1,6,7,HIGH
6,2,3,5,6,HIGH
5,7,3,1,7,HIGH
9,9,1,4,1,HIGH
4,2,4,8,15,HIGH
7,6,6,2,4,HIGH
8,7,7,8,13,HIGH
8,8,2,4,3,HIGH
7,10,10,1,5,LOW
10,4,9,5,0,HIGH
10,7,5,3,0,HIGH
6,8,2,4,6,HIGH
4,8,8,5,1,MEDIUM
5,1,10,0,5,MEDIUM
8,1,10,8,2,HIGH
10,6,2,3,4,HIGH
12,3,3,2,12,HIGH
9,2,5,8,1,HIGH
4,7,8,6,1,MEDIUM
4,4,5,4,2,HIGH
4,7,7,5,10,MEDIUM
12,3,2,2,11,HIGH
8,4,8,1,8,HIGH
11,4,4,4,8,HIGH
6,6,5,6,6,HIGH
12,5,5,2,1,HIGH
4,1,6,1,2,HIGH
8,2,7,7,11,HIGH
5,5,9,8,4,HIGH
9,6,4,3,11,HIGH
7,6,9,7,5,HIGH
4,6,4,3,2,HIGH
8,8,1,4,0,HIGH
8,5,1,8,2,HIGH
9,8,2,7,9,HIGH
10,2,10,0,6,HIGH
11,8,7,7,11,HIGH
4,5,8,6,14,MEDIUM
11,3,8,2,5,HIGH
11,5,10,0,13,MEDIUM
10,9,3,1,1,HIGH
5,5,9,6,15,MEDIUM
9,6,10,3,5,MEDIUM
12,10,8,8,7,HIGH
4,1,2,6,3,HIGH
9,7,3,1,10,HIGH
8,7,10,5,4,MEDIUM
9,8,8,4,3,MEDIUM
4,8,10,5,11,MEDIUM
11,5,9,2,2,HIGH
8,7,3,0,13,HIGH
4,8,10,6,12,MEDIUM
10,7,1,6,7,HIGH
4,10,6,1,9,LOW
5,1,9,1,15,HIGH
6,8,2,3,7,HIGH
7,2,4,6,6,HIGH
11,6,1,5,1,HIGH
7,1,8,0,10,HIGH
9,1,5,8,14,HIGH
11,4,4,5,3,HIGH
10,6,8,6,12,HIGH
6,2,7,0,5,HIGH
11,3,7,1,6,HIGH
10,4,5,6,14,HIGH
7,7,6,7,6,HIGH
8,7,3,5,11,HIGH
9,1,8,5,9,HIGH
8,6,1,5,15,HIGH
7,2,5,3,10,HIGH
6,5,10,8,2,HIGH
12,9,1,7,12,HIGH
8,10,6,7,4,HIGH
11,8,6,0,5,HIGH
4,1,2,8,14,HIGH
6,6,10,1,9,MEDIUM
12,7,3,5,10,HIGH
5,6,10,3,14,MEDIUM
6,3,1,8,1,HIGH
10,10,8,6,2,MEDIUM
7,1,7,6,5,HIGH
4,1,10,4,13,HIGH
9,4,10,5,1,HIGH
4,1,5,2,14,HIGH
9,5,1,8,6,HIGH
11,3,6,5,2,HIGH
10,2,8,1,0,HIGH
8,7,9,7,6,HIGH
6,1,1,8,15,HIGH
4,1,7,3,1,HIGH
7,1,9,6,1,HIGH
